,A,B,C,D,E,F,G,H,I,J
0,9.381966,15.970872,14.38935,9.237031,15.83698,11.891126,17.306876,15.670241,8.175596,8.897534
1,9.704905,17.377073,13.380266,17.609827,14.784833,13.197864,17.409479,8.74222,7.137292,8.914454
2,9.821925,13.891606,16.976328,9.552693,17.190519,9.728282,17.356832,13.40686,11.732109,8.912941
3,9.70956,12.714517,11.089627,12.985959,16.023892,8.498441,17.464868,13.426414,15.326673,11.312566
4,9.750357,10.416338,11.075259,11.762307,17.147343,14.305787,17.32937,12.185911,10.579429,13.688889
5,9.715928,14.988156,12.200846,17.681567,12.475885,8.523656,17.392315,14.59993,8.243291,12.469076
6,9.74144,18.554115,15.678258,10.588399,11.243172,11.940638,17.286087,14.497579,7.094672,11.227854
7,9.610036,17.305779,9.869504,15.169168,12.342167,13.053477,17.37602,15.717356,9.362806,7.786874
8,9.63141,12.622448,14.534138,10.568412,12.414375,15.518016,17.444517,7.567258,12.950911,14.904517
9,9.626884,17.390791,18.19797,12.897535,8.948356,13.179428,17.546331,8.699039,12.957312,8.877044
10,9.711684,12.596739,15.524962,16.239804,16.874818,9.615414,17.07229,10.908702,11.620686,6.647493
11,9.718726,10.403249,15.738532,14.079933,12.40421,9.675244,17.448723,14.631555,9.411979,14.871901
12,9.705032,15.03352,11.117067,12.977941,15.955654,14.360932,17.410357,9.914814,7.191348,14.825443
13,9.667498,17.39554,14.554533,15.263805,17.183304,12.007416,17.42798,9.884383,8.279894,6.679502
14,9.738524,12.671908,13.322178,14.067512,10.090438,8.436965,16.151871,13.315684,14.071143,15.980897
15,9.637823,11.435379,17.936998,12.773832,13.444201,14.167482,17.219541,9.761669,7.077591,13.519555
16,9.619699,10.304823,15.693128,10.488204,17.12575,11.871989,17.338032,14.558258,11.716224,8.835245
17,9.717455,14.947649,15.637174,16.356004,12.410352,8.49068,17.312932,8.697664,9.404294,14.730002
18,9.691584,11.545371,14.680337,11.800552,12.574769,16.851572,17.556703,7.666159,13.105675,13.822493
19,9.736061,10.440628,12.250356,10.64767,12.485002,13.163948,17.443028,13.401193,14.135561,14.878437
20,9.754755,12.757397,14.603176,10.672748,9.051058,14.368526,17.445328,15.800354,14.109264,10.107286
21,9.755713,13.880567,15.716637,14.089105,11.306591,15.487612,17.344633,8.782615,15.281519,6.669464
22,9.738357,10.420732,16.900393,15.234075,11.335312,16.67021,17.37285,11.059312,8.256386,11.259894
23,9.834778,13.957259,11.187949,16.493135,14.788141,10.865989,17.374342,15.763642,7.142578,11.258957
24,9.719487,10.4248,18.154362,10.605732,12.443975,15.539856,17.454387,9.897547,12.963798,11.267672
25,9.743965,15.026615,11.142162,16.517215,12.465085,16.742427,17.434758,13.388615,7.118812,8.967978
26,9.694813,13.782585,9.886188,16.436867,14.772466,10.755383,17.255958,12.091583,15.188981,7.687284
27,9.657615,10.382629,11.056386,12.944957,16.03124,16.740619,17.447066,9.87263,11.810509,12.517799
28,9.854227,12.88035,17.0764,17.776592,13.756485,14.460538,17.444012,8.800075,10.628775,6.683418
29,9.727049,12.625149,14.430071,10.54588,16.942584,15.358348,17.200844,13.244523,7.100132,9.969718
30,9.7371,17.341223,9.959164,15.277972,17.114674,9.682901,17.306402,11.01275,9.416337,11.199172
31,9.651064,11.513338,18.152155,14.08859,12.430324,14.39445,17.490311,7.582258,9.390241,13.670312
32,9.733207,10.426675,11.139625,12.976814,13.710066,10.870173,17.46981,13.484327,15.427615,13.717408
33,9.792368,18.602146,11.128785,16.451412,14.789142,13.221352,17.436135,7.668264,10.570969,8.962766
34,9.663966,12.579053,9.844696,13.989091,10.066398,11.923399,17.297885,15.694457,14.068238,12.426419
35,9.614639,16.225342,12.219065,10.598469,17.201225,12.028482,17.48231,7.603209,11.913792,13.814716
36,9.769808,12.738001,13.454972,17.744315,14.890004,13.249079,17.457811,14.638268,8.273777,6.669682
37,9.730763,17.464895,15.828249,10.702953,12.564702,8.599444,17.498118,9.92064,11.830576,14.856705
38,9.637801,17.306058,10.983507,15.183891,17.035459,11.874328,17.226149,9.830211,11.686359,6.624359
