,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.3396584440227704,0.3206831119544592,0.3377609108159393,0.1840607210626186,0.38330170777988615,0.3567362428842505,0.3377609108159393,0.34535104364326374,0.34535104364326374,0.34535104364326374
5,0.5009487666034156,0.5863377609108159,0.4686907020872865,0.2333965844402277,0.5863377609108159,0.5294117647058824,0.6546489563567363,0.4307400379506641,0.2333965844402277,0.5332068311195446
10,0.6679316888045541,0.7096774193548387,0.1840607210626186,0.6679316888045541,0.7703984819734345,0.6679316888045541,0.6413662239089184,0.22580645161290322,0.6679316888045541,0.34535104364326374
15,0.7476280834914611,0.8406072106261859,0.33206831119544594,0.7400379506641366,0.8595825426944972,0.8159392789373814,0.8064516129032258,0.19924098671726756,0.5370018975332068,0.573055028462998
20,0.8102466793168881,0.8538899430740038,0.6736242884250474,0.6850094876660342,0.8406072106261859,0.8614800759013282,0.7039848197343453,0.4117647058823529,0.855787476280835,0.8159392789373814
25,0.8614800759013282,0.8842504743833017,0.8197343453510436,0.8823529411764706,0.6603415559772297,0.8311195445920304,0.8368121442125237,0.6774193548387096,0.857685009487666,0.8804554079696395
30,0.8444022770398482,0.8614800759013282,0.7419354838709677,0.8671726755218216,0.8652751423149905,0.8652751423149905,0.825426944971537,0.6413662239089184,0.7874762808349146,0.905123339658444
35,0.8975332068311196,0.8595825426944972,0.8140417457305503,0.8785578747628083,0.8975332068311196,0.8652751423149905,0.8444022770398482,0.7647058823529411,0.8652751423149905,0.9089184060721063
40,0.8614800759013282,0.8614800759013282,0.8462998102466793,0.8975332068311196,0.8956356736242884,0.8481973434535104,0.8083491461100569,0.7267552182163188,0.8823529411764706,0.9146110056925996
45,0.8462998102466793,0.8671726755218216,0.8387096774193549,0.9108159392789373,0.9127134724857685,0.8481973434535104,0.8045540796963947,0.8140417457305503,0.8349146110056926,0.7988614800759013
50,0.8595825426944972,0.9032258064516129,0.8462998102466793,0.9392789373814042,0.8425047438330171,0.872865275142315,0.8235294117647058,0.6641366223908919,0.9165085388994307,0.9127134724857685
55,0.8387096774193549,0.9108159392789373,0.8842504743833017,0.937381404174573,0.9240986717267552,0.8766603415559773,0.8481973434535104,0.8292220113851992,0.9297912713472486,0.9108159392789373
60,0.9032258064516129,0.9127134724857685,0.8956356736242884,0.9392789373814042,0.9013282732447818,0.9089184060721063,0.8406072106261859,0.7703984819734345,0.9184060721062619,0.9108159392789373
65,0.8918406072106262,0.9127134724857685,0.8311195445920304,0.9411764705882353,0.9070208728652751,0.9108159392789373,0.8387096774193549,0.8083491461100569,0.9127134724857685,0.9127134724857685
70,0.8994307400379506,0.9127134724857685,0.8823529411764706,0.9392789373814042,0.9165085388994307,0.9127134724857685,0.8444022770398482,0.8330170777988615,0.937381404174573,0.8102466793168881
75,0.9013282732447818,0.9146110056925996,0.8709677419354839,0.8292220113851992,0.9278937381404174,0.9127134724857685,0.8709677419354839,0.7912713472485768,0.9146110056925996,0.9127134724857685
80,0.905123339658444,0.9089184060721063,0.8595825426944972,0.9411764705882353,0.9240986717267552,0.9089184060721063,0.857685009487666,0.8273244781783681,0.9297912713472486,0.9146110056925996
85,0.9013282732447818,0.9089184060721063,0.8842504743833017,0.9392789373814042,0.920303605313093,0.9127134724857685,0.8766603415559773,0.8444022770398482,0.9335863377609108,0.9146110056925996
90,0.9070208728652751,0.9146110056925996,0.8956356736242884,0.9184060721062619,0.9297912713472486,0.9184060721062619,0.8652751423149905,0.8519924098671727,0.9354838709677419,0.9165085388994307
95,0.9070208728652751,0.9165085388994307,0.9032258064516129,0.937381404174573,0.9335863377609108,0.9165085388994307,0.8633776091081594,0.8633776091081594,0.9222011385199241,0.9127134724857685
100,0.9089184060721063,0.9165085388994307,0.8709677419354839,0.9411764705882353,0.9278937381404174,0.9240986717267552,0.8861480075901328,0.8538899430740038,0.9297912713472486,0.9127134724857685
