,A,B,C,D,E,F,G,H,I,J
0,24.33143,26.899635,29.447135,32.03808,38.779017,32.997404,44.000867,37.898159,44.798495,47.524529
1,23.457135,30.313302,37.213671,44.095257,38.335658,19.983431,26.834313,42.125769,49.055398,43.314925
2,23.602986,51.953324,28.924464,39.964648,42.971875,19.995099,48.399336,29.480461,49.566367,22.203798
3,23.501937,38.946356,41.689117,23.190877,42.889125,45.649726,27.06694,46.86124,49.536716,18.206123
4,57.218772,34.577276,41.497722,44.249247,17.416075,20.051744,43.922845,21.207311,49.278628,26.613766
5,23.419101,55.884736,33.11542,23.115454,34.314123,24.289655,43.948603,38.219496,49.427562,30.910138
6,23.556044,38.986791,50.181447,44.404495,51.27131,28.533745,35.534427,17.001359,49.376036,18.07944
7,35.756199,38.403742,28.646323,43.702183,17.422399,19.974138,47.521633,41.728067,48.810017,30.370861
8,23.4898,42.945958,24.650551,35.667837,29.888486,49.607557,22.65047,37.974693,49.268835,39.196084
9,23.613961,34.780514,54.395088,23.234376,47.114251,37.134408,31.326834,21.327071,49.360519,35.248375
10,36.089656,51.540895,28.959691,52.746765,17.396968,20.070814,31.165649,33.85354,49.29799,35.021144
11,32.008425,38.927219,54.143026,44.262904,17.607507,28.543236,18.683891,33.934789,49.169012,39.250398
12,27.416603,38.313124,32.687475,47.641672,17.373674,36.350813,22.470907,45.637092,48.254244,34.371631
13,35.651664,50.598133,28.523044,35.217329,17.162712,48.532527,34.652764,16.660106,48.122049,34.242559
14,48.099927,26.015339,36.950367,27.120106,17.410107,28.265287,34.923317,41.651643,48.381659,42.698154
15,43.823351,54.659046,24.310943,47.444439,17.152027,32.040465,26.393955,20.748887,48.073817,34.212409
16,23.338343,25.953724,53.338584,27.012047,41.987463,32.263527,26.623998,33.400499,48.303971,38.599112
17,27.250686,46.317786,28.34431,35.134126,17.176988,27.933062,34.653183,49.643109,43.957659,38.352277
18,23.291309,38.276881,44.97916,39.347069,25.490148,44.529562,51.252517,16.728716,44.022913,21.955288
19,43.632572,38.072283,28.343035,51.408671,17.223338,19.762405,26.396792,41.280019,47.967195,34.159851
20,27.292052,46.402803,36.649544,26.902467,17.239944,48.479785,42.818798,33.102022,48.025042,21.777545
21,43.919872,29.989298,45.01105,47.672148,17.326862,28.119132,30.720658,45.711898,48.270709,13.695747
22,43.927754,30.031876,24.423829,31.226691,17.345833,48.855831,39.055256,41.687264,48.411143,26.223458
23,23.258048,38.28084,49.010952,39.352121,41.855787,27.990431,47.045044,20.811643,48.121628,13.663318
24,23.259096,25.860876,44.803112,26.937978,29.44432,44.321231,30.481541,45.424906,48.025562,30.069123
25,23.207006,38.185008,24.254268,39.199982,49.938034,23.841851,38.624896,41.231186,47.959952,21.873295
26,23.394984,46.496343,40.777861,47.590649,29.575119,19.798747,47.226377,20.881672,48.31289,26.108806
27,23.330406,30.010425,32.54484,51.538259,37.671236,44.417713,30.541185,16.790803,48.149582,34.256152
28,43.885803,46.595102,28.611304,31.238754,17.444309,20.001751,43.185169,29.278385,48.297419,42.706794
29,39.80803,54.675625,24.391467,39.357206,17.290845,28.14591,38.855669,41.457647,48.200331,17.939174
