,A,B,C,D,E,F,G,H,I,J
0,27.931883,39.177424,30.847921,41.995317,14.031032,17.484554,32.548809,48.713723,44.133415,18.192024
1,43.874824,39.411349,34.916301,46.108472,21.88663,13.571917,24.727137,28.073425,48.126464,14.146641
2,23.673617,35.801984,39.203547,46.387324,30.289092,17.18863,40.960276,48.167041,24.25598,10.137858
3,19.991713,27.342461,42.61206,22.262047,29.562359,13.464023,32.462285,35.903687,44.2072,46.595037
4,31.79066,42.983144,38.532894,22.43723,25.773522,13.48335,16.843284,31.839962,47.677585,41.342273
5,36.108085,23.771369,19.200438,42.277562,25.975536,13.553064,28.883434,36.177017,44.371867,46.726145
6,35.994313,23.600525,15.142852,42.232757,25.818593,17.408101,36.63625,28.171801,48.231571,41.8263
7,20.255677,23.666057,27.138025,34.353892,29.900764,13.644727,49.414396,36.079859,40.40018,42.752568
8,16.258874,47.212506,30.744418,26.200199,37.50723,21.133132,16.669227,31.912959,48.105504,37.689605
9,16.106682,23.618322,19.051175,34.573511,25.998749,29.466841,36.849804,40.211672,48.399638,42.044281
10,16.210095,31.672743,23.100553,42.421886,33.948983,17.384659,24.8357,36.263702,48.421158,41.972891
11,16.142605,39.2788,18.895874,42.160835,25.745425,21.199864,32.537003,28.021496,48.121643,41.647771
12,16.35963,23.674447,43.907365,26.44481,33.878295,17.463927,45.617532,28.095127,36.376817,46.738512
13,24.032578,27.439215,15.040259,18.381447,37.683188,41.138292,28.656682,32.053836,48.369366,41.93185
14,20.29027,35.524942,27.074803,14.734977,41.726208,21.438559,28.759938,36.139751,44.394061,46.669835
15,24.351617,27.834748,15.436844,18.810107,34.191306,37.585288,49.568698,28.40317,40.711532,42.99449
16,20.35278,27.653392,35.049625,14.777144,22.066171,41.333807,36.762272,28.274296,44.629303,46.961865
17,20.174908,43.214522,38.741867,14.56883,33.682672,29.202859,20.874667,48.87236,44.362121,22.111913
18,24.213209,43.463283,27.027599,18.655425,33.765591,37.25227,13.053058,28.157369,48.409004,41.860219
19,20.087531,27.503886,30.904054,22.428847,41.603972,33.20088,12.949217,36.054002,48.204116,41.802211
20,25.259665,44.143639,27.997032,31.339885,34.686944,38.024336,13.061125,48.570729,16.812251,42.540714
21,20.426571,43.516495,27.17862,34.510958,37.972792,29.487625,13.100891,20.478397,44.458938,46.717864
22,20.369931,43.843327,27.266509,38.65128,30.082398,33.528944,13.038704,20.413732,44.834915,47.225814
23,20.573625,32.106767,23.489263,38.903435,34.338519,25.843008,13.159352,40.572118,48.943808,42.41187
24,20.24298,31.489666,23.068015,47.193019,33.790552,25.379816,13.051031,41.060953,36.545403,46.960511
25,16.227328,39.335935,42.773421,34.312894,25.75647,29.241703,16.897159,20.264034,44.448951,46.960581
26,20.206401,35.397757,42.677626,30.354025,25.854625,21.371343,36.585352,12.465596,44.312688,46.588575
27,44.912027,36.591499,51.607429,39.453027,30.906441,26.408725,21.843211,17.390982,12.903904,42.860876
28,16.454314,35.54245,39.000331,18.67114,26.060089,21.557155,40.776756,28.261214,48.408889,41.985098
29,20.353168,39.57261,35.0201,30.512929,22.034704,25.445196,40.796926,12.522285,44.647475,47.046451
30,16.408474,19.682122,51.838881,34.480991,29.899623,25.390648,20.774712,44.994408,40.44705,34.02066
31,16.279031,19.725186,46.650337,38.279762,33.79915,29.29286,20.91594,24.320526,48.112185,37.830756
32,16.258582,39.565021,27.027948,42.486528,29.886783,21.424678,32.830698,16.327052,48.662083,42.146933
33,16.852406,20.206076,35.52527,26.996495,30.396044,21.916263,37.151027,44.546445,48.992801,38.165088
34,16.213382,27.579816,42.944224,30.411354,33.799852,17.364717,20.783868,36.17719,48.380656,41.941662
35,16.406084,27.569578,42.907357,34.425773,37.780532,17.386405,28.713265,20.221366,48.39366,41.90351
36,16.109763,31.306678,22.839525,34.116551,37.533448,17.209743,24.531999,48.680372,44.167119,37.708116
37,20.15692,27.593792,42.877181,30.515388,37.826248,21.465572,32.811358,12.435041,48.359509,41.803097
38,16.54208,39.567573,42.922044,30.546072,33.838863,17.535286,24.897603,20.370022,44.437898,46.834082
39,16.160953,31.720724,46.883359,26.597948,33.992437,21.469614,16.880914,36.320574,48.498397,38.12448
40,16.36124,43.520433,23.111013,38.46869,33.957945,29.446059,16.918818,24.327684,44.583911,46.965797
41,16.370343,35.600508,39.067047,22.563268,41.94078,29.380223,16.885912,24.19699,44.593773,47.028624
42,20.49917,27.857244,48.285627,38.708353,30.17361,13.716702,21.035244,49.51187,40.894848,30.383636
43,31.898694,35.302868,23.053534,42.16016,37.638233,17.48196,12.98933,24.234426,48.328771,41.865016
44,16.391086,43.823996,31.284114,26.739542,34.120317,17.596267,21.047789,36.434405,44.896866,47.379484
