,A,B,C,D,E,F,G,H,I,J
0,37.065336,48.193015,43.358943,31.314463,26.858381,13.969622,17.036088,8.896645,20.463339,33.917341
1,43.711679,39.296764,34.926703,30.583281,26.188193,21.921376,12.816138,8.531917,16.461129,41.41177
2,43.630406,31.83773,38.829616,26.98733,33.903697,17.368819,12.924194,8.522826,20.450873,41.239674
3,41.570472,36.755035,44.592761,31.517454,26.778692,17.346098,12.89114,8.608749,20.39407,43.577219
4,36.114614,46.994721,38.770854,30.825745,13.8671,17.051516,25.170442,8.384472,20.200849,37.851911
5,43.712191,31.889591,38.794489,34.491764,26.29979,21.983573,17.67147,8.573039,12.650111,41.404567
6,32.798327,43.876844,35.619736,22.454982,38.242521,13.623536,16.979211,8.817042,24.559602,42.199807
7,32.075731,46.635242,42.266041,26.707034,37.408257,17.017523,12.698413,8.429463,20.067803,29.895359
8,38.76942,34.423625,30.112848,25.791036,21.454922,17.181097,12.832767,8.571055,42.863105,36.455173
9,48.004638,39.929966,35.413873,30.981528,26.48412,22.06079,12.721749,8.426969,16.527348,38.231518
10,34.750255,42.763293,26.214139,21.953597,28.826244,13.244155,16.47314,8.475803,34.999688,41.083889
11,47.209073,34.418925,22.495731,29.472151,25.17381,16.946452,12.65735,8.409237,35.258572,37.492834
12,47.247876,39.201209,34.780121,21.91012,25.159397,13.185775,16.395858,8.401019,27.67761,37.557374
13,47.531346,43.310684,31.35034,26.942431,37.893612,33.434269,21.498086,13.325688,8.930769,15.09237
14,47.672539,39.412837,42.735264,10.591944,29.004688,13.19554,16.555267,23.719545,31.708655,17.804768
